,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,1,1,20.0,100.0,0.001,0.75,0.25,14822.083711925541,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.2811120726432623,0.8883602619171143,Success,processor_26,['processor_0'],0.09414884333051705,0.7249486446380615,Success,processor_0,['processor_1'],0.13814846851442078,0.07453298568725586,Success,processor_0,['processor_1'],0.11742651683093949,0.0763247013092041,Success,processor_2,['processor_0'],['processor_1'],0.09978716719797229,0.000301361083984375,FL,0.09414884333051705
Event 1,event_1,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13456.516489299955,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.30963932425357243,0.8301265239715576,Success,processor_26,['processor_0'],0.1036579652369559,0.6887416839599609,Success,processor_0,['processor_1'],0.14765755238452413,0.07007169723510742,Success,processor_0,['processor_1'],0.1255092704514125,0.0690774917602539,Success,processor_2,['processor_0'],['processor_1'],0.10663373497060827,0.0004379749298095703,FL,0.1036579652369559
Event 2,event_2,100,7,1,1,20.0,100.0,0.001,0.75,0.25,9072.752845538622,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.4592505429798946,0.9264733791351318,Success,processor_26,['processor_0'],0.15352857096068825,0.6644570827484131,Success,processor_0,['processor_1'],0.1975279586266315,0.07034945487976074,Success,processor_0,['processor_1'],0.167899285316585,0.07102847099304199,Success,processor_2,['processor_0'],['processor_1'],0.14254057109169557,0.00031256675720214844,FSL,0.14254057109169557
Event 3,event_3,100,7,1,1,20.0,100.0,0.001,0.75,0.25,16951.07872016407,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.2458053993417142,0.8999037742614746,Success,processor_26,['processor_0'],0.08237990515443663,0.7245156764984131,Success,processor_0,['processor_1'],0.12637957741390474,0.06949663162231445,Success,processor_0,['processor_1'],0.10742291938127113,0.06965112686157227,Success,processor_2,['processor_0'],['processor_1'],0.09131353171119438,0.0002865791320800781,FL,0.08237990515443663
Event 4,event_4,100,7,1,1,20.0,100.0,0.001,0.75,0.25,15789.822193859869,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.26388306482608714,0.8885049819946289,Success,processor_26,['processor_0'],0.0884058177527816,0.7050249576568604,Success,processor_0,['processor_1'],0.13240546590869573,0.05867648124694824,Success,processor_0,['processor_1'],0.11254494508986435,0.05827021598815918,Success,processor_2,['processor_0'],['processor_1'],0.09565218878200275,0.00017571449279785156,FL,0.0884058177527816
Event 5,event_5,100,7,1,1,20.0,100.0,0.001,0.75,0.25,12005.17155533483,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.34707264720988995,0.8907437324523926,Success,processor_26,['processor_0'],0.11613578946682562,0.7444820404052734,Success,processor_0,['processor_1'],0.16013532670329658,0.07180166244506836,Success,processor_0,['processor_1'],0.13611542104680177,0.06437373161315918,Success,processor_2,['processor_0'],['processor_1'],0.11561776841611446,0.00019550323486328125,FSL,0.11561776841611446
Event 6,event_6,100,7,1,1,20.0,100.0,0.001,0.75,0.25,12220.910436641763,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.34094568433465194,0.8387620449066162,Success,processor_26,['processor_0'],0.11409346033912914,0.8419091701507568,Success,processor_0,['processor_1'],0.15809300574488397,0.07327747344970703,Success,processor_0,['processor_1'],0.13437944128825977,0.06908726692199707,Success,processor_2,['processor_0'],['processor_1'],0.114147291444173,0.0002307891845703125,FL,0.11409346033912914
Event 7,event_7,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13419.508365617894,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3104932430470489,0.8950924873352051,Success,processor_26,['processor_0'],0.10394260597333976,0.7368745803833008,Success,processor_0,['processor_1'],0.1479421919823496,0.07116985321044922,Success,processor_0,['processor_1'],0.12575121507733877,0.06815123558044434,Success,processor_2,['processor_0'],['processor_1'],0.10683867630080464,0.00019049644470214844,FL,0.10394260597333976
Event 8,event_8,100,7,1,1,20.0,100.0,0.001,0.75,0.25,17103.13465741903,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.2436200589897048,0.8458845615386963,Success,processor_26,['processor_0'],0.08165145545664633,0.735598087310791,Success,processor_0,['processor_1'],0.1256511306299016,0.07220697402954102,Success,processor_0,['processor_1'],0.10680373713814939,0.07281303405761719,Success,processor_2,['processor_0'],['processor_1'],0.09078904792878538,0.00024247169494628906,FL,0.08165145545664633
Event 9,event_9,100,7,1,1,20.0,100.0,0.001,0.75,0.25,17877.671937171915,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.23306539515498442,0.8837788105010986,Success,processor_26,['processor_0'],0.0781332201055211,0.7364556789398193,Success,processor_0,['processor_1'],0.12213290935166146,0.06937003135681152,Success,processor_0,['processor_1'],0.10381323708969292,0.07140254974365234,Success,processor_2,['processor_0'],['processor_1'],0.0882559184759752,0.00024199485778808594,FL,0.0781332201055211
