,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,4,4,53.40916621731239,267.045831086562,0.001,0.75,0.25,13000,150,1,5,0.5,10.681833243462478,10.681833243462478,Success,"[0, 0, 1, 2, 3, 3, 3]",2.1021300042196565,0.9693145751953125,Unfeasible Type A,,,,3.123283386230469e-05,Unfeasible Type A,,,,2.8133392333984375e-05,Unfeasible Type A,,,,2.7179718017578125e-05,Unfeasible Type A,,,,,4.553794860839844e-05,PL,2.1021300042196565
Event 1,event_1,100,7,4,4,49.510522771526375,247.55261385763188,0.001,0.75,0.25,13000,150,1,5,0.5,9.902104554305275,9.902104554305275,Success,"[0, 0, 1, 2, 3, 3, 3]",1.9486833967631947,0.9144153594970703,Unfeasible Type A,,,,3.218650817871094e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,2.8848648071289062e-05,Unfeasible Type A,,,,,4.839897155761719e-05,PL,1.9486833967631947
Event 2,event_2,100,7,4,4,27.639168502941647,138.19584251470823,0.001,0.75,0.25,13000,150,1,5,0.5,5.52783370058833,5.52783370058833,Success,"[0, 0, 1, 2, 3, 3, 3]",1.0878493246912102,0.8364212512969971,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.14825992521820458,0.7193889617919922,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.8371833269933754,0.07135128974914551,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.4600774943665084,0.07101249694824219,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.15096981576181392,0.003142118453979492,FL,0.14825992521820458
Event 3,event_3,100,7,4,4,60.20027736960762,301.00138684803807,0.001,0.75,0.25,13000,150,1,5,0.5,12.040055473921523,12.040055473921523,Success,"[0, 0, 1, 2, 3, 3, 3]",2.3694211739997,0.8748185634613037,Unfeasible Type A,,,,3.24249267578125e-05,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.9591064453125e-05,PL,2.3694211739997
Event 4,event_4,100,7,4,4,28.96523407023581,144.82617035117903,0.001,0.75,0.25,13000,150,1,5,0.5,5.793046814047162,5.793046814047162,Success,"[0, 0, 1, 2, 3, 3, 3]",1.1400419053659208,0.8382961750030518,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.15537310526262965,0.7218897342681885,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.8773495130099033,0.0697774887084961,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.48215098487328334,0.06827926635742188,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.15821301030147064,0.0032913684844970703,FL,0.15537310526262965
Event 5,event_5,100,7,4,4,45.5284540874463,227.6422704372315,0.001,0.75,0.25,13000,150,1,5,0.5,9.10569081748926,9.10569081748926,Success,"[0, 0, 1, 2, 3, 3, 3]",1.7919532574909915,0.831871747970581,Unfeasible Type A,,,,3.719329833984375e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.887580871582031e-05,PL,1.7919532574909915
Event 6,event_6,100,7,4,4,6.296896364449469,31.484481822247343,0.001,0.75,0.25,13000,150,1,5,0.5,1.2593792728898938,1.2593792728898938,Success,"[0, 0, 1, 2, 3, 3, 3]",0.2478393826166211,0.8768846988677979,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.03377733248488801,0.6740152835845947,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.19073137629591858,0.06160545349121094,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.1048172017677865,0.06068015098571777,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.03439471357223852,0.003208160400390625,FL,0.03377733248488801
Event 7,event_7,100,7,4,4,20.753075491345463,103.76537745672731,0.001,0.75,0.25,13000,150,1,5,0.5,4.150615098269093,4.150615098269093,Success,"[0, 0, 1, 2, 3, 3, 3]",0.8168197663454227,0.8720114231109619,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.11132206889931318,0.7188148498535156,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6286053353370016,0.07033681869506836,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.34545261270971833,0.06795859336853027,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.11335681039365823,0.0031859874725341797,FL,0.11132206889931318
Event 8,event_8,100,7,4,4,8.735952042277264,43.679760211386316,0.001,0.75,0.25,13000,150,1,5,0.5,1.7471904084554528,1.7471904084554528,Success,"[0, 0, 1, 2, 3, 3, 3]",0.3438381125247467,0.835777759552002,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.04686072941688733,0.6937699317932129,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.26460974737843074,0.07025361061096191,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.1454173603707165,0.06895709037780762,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.04771724844780249,0.003270387649536133,FL,0.04686072941688733
Event 9,event_9,100,7,4,4,10.885001090421936,54.42500545210968,0.001,0.75,0.25,13000,150,1,5,0.5,2.177000218084387,2.177000218084387,Success,"[0, 0, 1, 2, 3, 3, 3]",0.4284224789283416,0.8427281379699707,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.05838849484627379,0.7026851177215576,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.32970389200851535,0.07069826126098633,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.18119011168316507,0.06928443908691406,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.05945571803399223,0.0031223297119140625,FL,0.05838849484627379
