,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,20.0,100.0,0.001,0.75,0.25,14984.880445572977,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6113913856387184,0.9323320388793945,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.09313083253475328,0.6855905055999756,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4118358298164961,0.0736539363861084,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2347358797692247,0.0721743106842041,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09905419942502236,0.002258777618408203,FL,0.09313083253475328
Event 1,event_1,100,7,3,3,20.0,100.0,0.001,0.75,0.25,7527.286501907101,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.8868749937510213,0.8825616836547852,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1849590692169984,0.6484928131103516,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.6873194379287991,0.0696561336517334,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.42987041439686186,0.06729722023010254,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.1651705298362389,0.0015230178833007812,FSL,0.1651705298362389
Event 2,event_2,100,7,3,3,20.0,100.0,0.001,0.75,0.25,18627.8679962299,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5570125365870288,0.8926112651824951,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.07500447701239131,0.6715166568756104,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3574569807648065,0.06495332717895508,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.196217466728249,0.07010173797607422,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.08600322344892174,0.0015211105346679688,FL,0.07500447701239131
Event 3,event_3,100,7,3,3,20.0,100.0,0.001,0.75,0.25,15632.825448944586,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5998665127965417,0.8787789344787598,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.08928919288753057,0.703134298324585,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4003109569743194,0.06491303443908691,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.22657241511116036,0.060170650482177734,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09628821887902202,0.0014827251434326172,FL,0.08928919288753057
Event 4,event_4,100,7,3,3,20.0,100.0,0.001,0.75,0.25,16464.314574698314,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5864059196363742,0.8533129692077637,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.08480231055335055,0.7958228588104248,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3868503638141519,0.07222700119018555,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.21703781303403613,0.07183599472045898,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.0930576635984124,0.0024106502532958984,FL,0.08480231055335055
Event 5,event_5,100,7,3,3,20.0,100.0,0.001,0.75,0.25,14393.751445872633,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6228107976506538,0.8824079036712646,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.09693731843128109,0.7169418334960938,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4232552418284315,0.07146978378295898,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.24282464288634598,0.06989336013793945,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10179486927052239,0.0018258094787597656,FL,0.09693731843128109
Event 6,event_6,100,7,3,3,20.0,100.0,0.001,0.75,0.25,8029.540420903024,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.8522505378590614,0.8559601306915283,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.17341753775373722,0.722508430480957,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.6526949820368391,0.0724790096282959,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4053447188990068,0.0728766918182373,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.15686062718269078,0.0017461776733398438,FSL,0.15686062718269078
Event 7,event_7,100,7,3,3,20.0,100.0,0.001,0.75,0.25,15661.112984709844,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5993850931907708,0.8494889736175537,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.08912871904371414,0.6818056106567383,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3998295373685485,0.07010555267333984,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2262314090114637,0.06879520416259766,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.0961726777114742,0.0014965534210205078,FL,0.08912871904371414
Event 8,event_8,100,7,3,3,20.0,100.0,0.001,0.75,0.25,12610.410700990062,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6637481603266252,0.8840861320495605,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.11058316057308845,0.6535735130310059,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4641926045044029,0.06873822212219238,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.27182198784417,0.06906366348266602,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11161987561262368,0.0015325546264648438,FL,0.11058316057308845
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,15708.100412203099,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5985892561745192,0.8867809772491455,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.08886343897718092,0.6619088649749756,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3990337003522969,0.06796002388000488,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.22566769022300356,0.07221484184265137,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09598167606357026,0.0023393630981445312,FL,0.08886343897718092
