,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.9742288589477539,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.6474196910858154,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.07660484313964844,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.07812285423278809,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0007939338684082031,FL,0.10728247863386754
Event 1,event_1,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.787179487383654,0.9149656295776367,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10728247863386754,0.6470308303833008,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6057948718004273,0.06485843658447266,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.33291702991571037,0.07207107543945312,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.10924338461638462,0.0031898021697998047,FL,0.10728247863386754
Event 2,event_2,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8975207805633545,Success,processor_26,['processor_0'],0.10728247863386754,0.7193968296051025,Success,processor_0,['processor_1'],0.15128205128344016,0.058721303939819336,Success,processor_0,['processor_1'],0.12859010683878738,0.05877828598022461,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.00018167495727539062,FL,0.10728247863386754
Event 3,event_3,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8760678768157959,Success,processor_26,['processor_0'],0.10728247863386754,0.7182605266571045,Success,processor_0,['processor_1'],0.15128205128344016,0.07073307037353516,Success,processor_0,['processor_1'],0.12859010683878738,0.07114458084106445,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.00032901763916015625,FL,0.10728247863386754
Event 4,event_4,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.8344173431396484,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.7181122303009033,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.0726327896118164,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.06964349746704102,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.011011123657226562,FL,0.10728247863386754
Event 5,event_5,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8540315628051758,Success,processor_26,['processor_0'],0.10728247863386754,0.7020378112792969,Success,processor_0,['processor_1'],0.15128205128344016,0.07115387916564941,Success,processor_0,['processor_1'],0.12859010683878738,0.06949043273925781,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.00023221969604492188,FL,0.10728247863386754
Event 6,event_6,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.787179487383654,0.8596065044403076,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10728247863386754,0.6771681308746338,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6057948718004273,0.07009100914001465,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.33291702991571037,0.07076406478881836,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.10924338461638462,0.0035195350646972656,FL,0.10728247863386754
Event 7,event_7,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8828010559082031,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.6587638854980469,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.06990170478820801,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.06878924369812012,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0006361007690429688,FL,0.10728247863386754
Event 8,event_8,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6538461541169873,0.8716733455657959,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10728247863386754,0.6697933673858643,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45429059829476487,0.06109356880187988,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2648080555567361,0.06307053565979004,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10924338461638462,0.0015838146209716797,FL,0.10728247863386754
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6538461541169873,0.8772382736206055,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10728247863386754,0.7060153484344482,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45429059829476487,0.07059144973754883,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2648080555567361,0.06480264663696289,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10924338461638462,0.0015370845794677734,FL,0.10728247863386754
Event 10,event_10,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.845435380935669,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.7995550632476807,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.07009768486022949,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.0702817440032959,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0006418228149414062,FL,0.10728247863386754
Event 11,event_11,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8318190574645996,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.7157959938049316,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.06896781921386719,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.06957101821899414,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0006945133209228516,FL,0.10728247863386754
Event 12,event_12,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8455150127410889,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.722435712814331,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.07106781005859375,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.07050275802612305,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0006489753723144531,FL,0.10728247863386754
Event 13,event_13,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.8555881977081299,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.6822640895843506,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.06923174858093262,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.06771469116210938,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.006195545196533203,FL,0.10728247863386754
Event 14,event_14,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.8623440265655518,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.6809549331665039,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.07150483131408691,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.06821060180664062,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.009952545166015625,FL,0.10728247863386754
Event 15,event_15,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8832156658172607,Success,processor_26,['processor_0'],0.10728247863386754,0.6951158046722412,Success,processor_0,['processor_1'],0.15128205128344016,0.0598597526550293,Success,processor_0,['processor_1'],0.12859010683878738,0.062038421630859375,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.0001926422119140625,FL,0.10728247863386754
Event 16,event_16,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.8697564601898193,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.7243659496307373,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.07040905952453613,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.06531357765197754,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.005667924880981445,FL,0.10728247863386754
Event 17,event_17,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.9483909606933594,Success,processor_26,['processor_0'],0.10728247863386754,0.7710371017456055,Success,processor_0,['processor_1'],0.15128205128344016,0.07974576950073242,Success,processor_0,['processor_1'],0.12859010683878738,0.07520270347595215,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.000255584716796875,FL,0.10728247863386754
Event 18,event_18,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8591241836547852,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.7211356163024902,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.06901335716247559,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.06863236427307129,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0006177425384521484,FL,0.10728247863386754
Event 19,event_19,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.787179487383654,0.8345451354980469,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10728247863386754,0.7491481304168701,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6057948718004273,0.07132148742675781,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.33291702991571037,0.07236170768737793,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.10924338461638462,0.003896474838256836,FL,0.10728247863386754
