,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,60.48,302.4,0.001,0.75,0.25,9990.306101149465,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",2.269222617257751,0.8598542213439941,Unfeasible Type A,,,,7.724761962890625e-05,Unfeasible Type A,,,,7.867813110351562e-05,Unfeasible Type A,,,,0.00011730194091796875,Unfeasible Type A,,,,,0.00015401840209960938,PL,2.269222617257751
Event 1,event_1,100,7,3,3,60.48,302.4,0.001,0.75,0.25,8550.16907031785,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",2.4816550708303216,0.8798093795776367,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,2.765655517578125e-05,Unfeasible Type A,,,,,4.57763671875e-05,PL,2.4816550708303216
Event 2,event_2,100,7,3,3,60.48,302.4,0.001,0.75,0.25,14821.332828635743,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",1.8581259743435279,0.8443295955657959,Unfeasible Type A,,,,3.0994415283203125e-05,Unfeasible Type A,,,,2.8848648071289062e-05,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,,4.839897155761719e-05,PL,1.8581259743435279
Event 3,event_3,100,7,3,3,60.48,302.4,0.001,0.75,0.25,8113.4173089160195,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",2.560983105248394,0.8778173923492432,Unfeasible Type A,,,,3.910064697265625e-05,Unfeasible Type A,,,,3.62396240234375e-05,Unfeasible Type A,,,,3.528594970703125e-05,Unfeasible Type A,,,,,5.7697296142578125e-05,PL,2.560983105248394
Event 4,event_4,100,7,3,3,60.48,302.4,0.001,0.75,0.25,10942.431716550034,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",2.1594807983505646,0.8722991943359375,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,3.0994415283203125e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.935264587402344e-05,PL,2.1594807983505646
Event 5,event_5,100,7,3,3,60.48,302.4,0.001,0.75,0.25,14335.08235208737,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",1.8869625132348693,0.8657968044281006,Unfeasible Type A,,,,3.123283386230469e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,,4.863739013671875e-05,PL,1.8869625132348693
Event 6,event_6,100,7,3,3,60.48,302.4,0.001,0.75,0.25,12553.511020891452,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",2.011703265899607,0.8937029838562012,Unfeasible Type A,,,,5.507469177246094e-05,Unfeasible Type A,,,,3.361701965332031e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,,4.9591064453125e-05,PL,2.011703265899607
Event 7,event_7,100,7,3,3,60.48,302.4,0.001,0.75,0.25,16411.40675696853,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",1.7757586815007427,0.8247861862182617,Unfeasible Type A,,,,3.838539123535156e-05,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,,4.935264587402344e-05,PL,1.7757586815007427
Event 8,event_8,100,7,3,3,60.48,302.4,0.001,0.75,0.25,15702.316230644357,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",1.8104293886106968,0.884185791015625,Unfeasible Type A,,,,3.528594970703125e-05,Unfeasible Type A,,,,3.933906555175781e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,,4.863739013671875e-05,PL,1.8104293886106968
Event 9,event_9,100,7,3,3,60.48,302.4,0.001,0.75,0.25,15892.8372992527,150,1,5,0.5,12.096,12.096,Success,"[0, 0, 0, 1, 2, 2, 2]",1.8008099794663266,0.8333959579467773,Unfeasible Type A,,,,3.5762786865234375e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,,5.030632019042969e-05,PL,1.8008099794663266
