,0
0,1.8926331996917725
1,1.5160367488861084
2,1.6842949390411377
3,1.2721953392028809
4,1.861156940460205
5,1.5509841442108154
6,1.4106266498565674
7,1.3016166687011719
8,1.4379394054412842
9,1.7137398719787598
10,1.8152146339416504
11,1.7861924171447754
12,1.606419324874878
13,1.438992977142334
14,1.3483400344848633
15,1.3484265804290771
16,1.4153051376342773
17,1.3423290252685547
18,1.4700443744659424
19,1.4429361820220947
20,1.4298083782196045
21,1.3691840171813965
22,1.3551735877990723
23,1.4740827083587646
24,1.4327995777130127
25,1.4940447807312012
26,1.4800758361816406
27,1.8735358715057373
28,1.4723131656646729
29,1.3217897415161133
30,1.4396631717681885
31,1.4761948585510254
32,1.395256519317627
33,1.3117539882659912
34,1.6035196781158447
35,1.4700028896331787
36,1.3813726902008057
37,1.3819334506988525
38,1.4632000923156738
39,1.446718454360962
40,1.3484838008880615
41,1.3958122730255127
42,1.4766919612884521
43,1.3709721565246582
44,1.2800767421722412
45,1.4352335929870605
46,1.3415093421936035
47,1.3315465450286865
48,1.4204320907592773
49,1.4296059608459473
50,1.4271326065063477
51,1.3438596725463867
52,1.4557650089263916
53,1.4548516273498535
54,1.4286410808563232
55,1.334597110748291
56,1.5337951183319092
57,1.459691047668457
58,1.4405701160430908
59,1.6312129497528076
60,1.5010793209075928
61,1.480473518371582
62,1.391103744506836
63,1.3851463794708252
64,1.4445970058441162
65,1.441225290298462
66,1.489187479019165
67,1.359098196029663
68,1.4219191074371338
69,1.4614641666412354
70,1.4143753051757812
71,1.3851077556610107
72,1.4810357093811035
73,1.4222588539123535
74,1.3987433910369873
75,1.3718833923339844
76,1.3711903095245361
77,1.3864717483520508
78,1.2932746410369873
79,1.5009856224060059
80,1.4317731857299805
81,1.3942787647247314
82,1.316239356994629
83,1.45046067237854
84,1.4325370788574219
85,1.2914049625396729
86,1.3940577507019043
87,1.4296817779541016
88,1.4042887687683105
89,1.2946715354919434
90,1.3977506160736084
91,1.4561848640441895
92,1.414980411529541
93,1.2650370597839355
94,1.384063482284546
95,1.433572769165039
96,1.3334805965423584
97,1.3725864887237549
98,1.384216547012329
99,1.3688206672668457
100,1.2903070449829102
101,1.421480655670166
102,1.4618854522705078
103,1.3705801963806152
104,1.3785359859466553
105,1.4619040489196777
106,1.441807508468628
107,1.301482915878296
108,1.4564874172210693
109,1.4158151149749756
110,1.384709358215332
111,1.315340280532837
112,1.4275896549224854
113,1.3688099384307861
114,1.3419713973999023
115,1.4179916381835938
116,1.4314427375793457
117,1.5092511177062988
118,1.4278078079223633
119,1.3713798522949219
120,1.4231765270233154
121,1.468163251876831
122,1.3331944942474365
123,1.464021921157837
124,1.5035033226013184
125,1.4342873096466064
126,1.3264753818511963
127,1.4151763916015625
128,1.3600215911865234
129,1.3596603870391846
130,1.3181626796722412
131,1.369119644165039
132,1.3680896759033203
133,1.2524113655090332
134,1.3819770812988281
135,1.4411051273345947
136,1.28541898727417
137,1.329298496246338
138,1.3848845958709717
139,1.412135124206543
140,1.251875638961792
141,1.4055233001708984
142,1.4140563011169434
143,1.3929684162139893
144,1.4266304969787598
145,1.3828318119049072
146,1.3966484069824219
147,1.3342766761779785
148,1.4955239295959473
149,1.3876311779022217
150,1.414121389389038
151,1.3313984870910645
152,1.416430950164795
153,1.4409434795379639
154,1.394249439239502
155,1.3313956260681152
156,1.4885201454162598
157,1.396897315979004
158,1.2981269359588623
159,1.4957184791564941
160,1.6153550148010254
161,1.4723811149597168
162,1.462738037109375
163,1.3873307704925537
164,1.5695922374725342
165,1.4585974216461182
166,1.4317152500152588
167,1.3091011047363281
168,1.4785072803497314
169,1.4226758480072021
170,1.429431438446045
171,1.302952766418457
172,1.3582806587219238
173,1.338590383529663
174,1.357311487197876
175,1.4476640224456787
176,1.3907089233398438
177,1.4012782573699951
178,1.4789865016937256
179,1.437143325805664
180,1.4533088207244873
181,1.397733449935913
182,1.3613669872283936
183,1.4408626556396484
184,1.4411451816558838
185,1.3246207237243652
186,1.452284574508667
187,1.4155147075653076
188,1.472640037536621
189,1.3647065162658691
190,1.4947378635406494
191,1.4276118278503418
192,1.4052114486694336
193,1.2699880599975586
194,1.4634504318237305
195,1.4475173950195312
196,1.4455668926239014
197,1.3828375339508057
198,1.4281961917877197
199,1.4454617500305176
200,1.3343439102172852
201,1.4604148864746094
202,1.4702961444854736
203,1.4172112941741943
204,1.3338382244110107
205,1.4315822124481201
206,1.4115006923675537
207,1.525345802307129
208,1.2737195491790771
209,1.4061219692230225
210,1.4611608982086182
211,1.341707468032837
212,1.3311889171600342
213,1.416938066482544
214,1.4035663604736328
215,1.3246879577636719
216,1.4209942817687988
217,1.5052578449249268
218,1.4681954383850098
219,1.2884159088134766
220,1.5060052871704102
221,1.4331300258636475
222,1.33803391456604
223,1.3680424690246582
224,1.424685001373291
225,1.3679351806640625
226,1.3127224445343018
227,1.4235541820526123
228,1.4240155220031738
229,1.4742679595947266
230,1.3188350200653076
231,1.4898412227630615
232,1.4301652908325195
233,1.307417392730713
234,1.3174595832824707
235,1.477701187133789
236,1.376054048538208
237,1.3483171463012695
238,1.4073243141174316
239,1.4533860683441162
240,1.3889365196228027
241,1.299255609512329
242,1.4202282428741455
243,1.4535069465637207
244,1.4058959484100342
245,1.3467085361480713
246,1.4129419326782227
247,1.4786882400512695
248,1.3067264556884766
249,1.3982906341552734
250,1.468496561050415
251,1.4324283599853516
252,1.3753867149353027
253,1.4121286869049072
254,1.421790361404419
255,1.3464102745056152
256,1.319866418838501
257,1.4316086769104004
258,1.437971591949463
259,1.3492834568023682
260,1.4044139385223389
261,1.5040912628173828
