,0
0,0.11665018399556477
1,0.11783361434936523
2,0.1146084467569987
3,0.1165769100189209
4,0.10709047317504883
5,0.11172835032145183
6,0.10814817746480306
7,0.1155993143717448
8,0.1083065668741862
9,0.1076192061106364
10,0.11926150321960449
11,0.10955437024434407
12,0.1087803840637207
13,0.10613354047139485
14,0.10751827557881673
15,0.10512653986612956
16,0.1070724328358968
17,0.11077268918355306
18,0.1152649720509847
19,0.11365302403767903
20,0.11723415056864421
21,0.11595726013183594
22,0.11296916007995605
23,0.11226725578308105
24,0.10927470525105794
25,0.10851152737935384
26,0.10548877716064453
27,0.10667149225870769
28,0.10817670822143555
29,0.10556642214457194
30,0.10571829477945964
31,0.1121381123860677
32,0.10675533612569173
33,0.11418271064758301
34,0.11113977432250977
35,0.10596259435017903
36,0.10968772570292155
37,0.10839160283406575
38,0.10602688789367676
39,0.10600694020589192
40,0.10586667060852051
41,0.10875527064005534
42,0.10799495379130046
43,0.11095293362935384
44,0.10791627566019694
45,0.11801926294962566
46,0.11501145362854004
47,0.1151748498280843
48,0.1148086388905843
49,0.11562665303548177
50,0.11607042948404948
51,0.11445196469624837
52,0.10626554489135742
53,0.11420154571533203
54,0.10629685719807942
55,0.10461775461832683
56,0.10621897379557292
57,0.11029966672261556
58,0.10907300313313802
59,0.10622096061706543
60,0.10721429189046223
61,0.10376183191935222
62,0.105406920115153
63,0.10427037874857585
64,0.10529454549153645
65,0.10676121711730957
66,0.10799821217854817
67,0.11592396100362141
68,0.11389708518981934
69,0.1082318623860677
70,0.11491632461547852
71,0.10514942804972331
72,0.10639580090840657
73,0.10676487286885579
74,0.11448001861572266
75,0.10435724258422852
76,0.10602736473083496
77,0.10713887214660645
78,0.10739954312642415
79,0.10630488395690918
80,0.10816820462544759
81,0.10695457458496094
82,0.10544323921203613
83,0.10510643323262532
84,0.10545953114827473
85,0.11513932545979817
86,0.10866061846415202
87,0.10659901301066081
88,0.11515291531880696
89,0.10788965225219727
90,0.10725784301757812
91,0.10692437489827473
92,0.10701481501261394
93,0.10689171155293782
94,0.10771346092224121
95,0.11557356516520183
96,0.10639278093973796
97,0.11706757545471191
98,0.1174789269765218
99,0.1159524917602539
100,0.10776638984680176
101,0.11638919512430827
102,0.10754704475402832
103,0.10787900288899739
104,0.10611859957377116
105,0.11092098553975423
106,0.10498436292012532
107,0.1054672400156657
108,0.10987250010172527
109,0.1174468994140625
110,0.10509737332661946
111,0.1064299742380778
112,0.10671432813008626
113,0.10452437400817871
114,0.11539562543233235
115,0.11594891548156738
116,0.11552015940348308
117,0.11736917495727539
118,0.11530717213948567
119,0.10898725191752116
120,0.10560909907023112
121,0.1061858336130778
122,0.10854403177897136
123,0.10284082094828288
