,0
0,1.3150634765625
1,1.218522548675537
2,1.234924077987671
3,1.2276041507720947
4,1.2289838790893555
5,1.218310832977295
6,1.2298729419708252
7,1.2300853729248047
8,1.235619306564331
9,1.2707247734069824
10,1.2097012996673584
11,1.2089366912841797
12,1.2133190631866455
13,1.2144320011138916
14,1.2046337127685547
15,1.2416653633117676
16,1.217787265777588
17,1.2356879711151123
18,1.2573237419128418
19,1.2397148609161377
20,1.2272915840148926
21,1.2274553775787354
22,1.2418878078460693
23,1.2370233535766602
24,1.2365062236785889
25,1.2475132942199707
26,1.234938383102417
27,1.2353403568267822
28,1.2386891841888428
29,1.2377371788024902
30,1.2520580291748047
31,1.2450084686279297
32,1.237016201019287
33,1.2320544719696045
34,1.2303886413574219
35,1.228149175643921
36,1.2371971607208252
37,1.2271192073822021
38,1.285339593887329
39,1.2271192073822021
40,1.231109619140625
41,1.2335772514343262
42,1.234632968902588
43,1.237051248550415
44,1.2521295547485352
45,1.2210602760314941
46,1.2242131233215332
47,1.2323112487792969
48,1.225074291229248
49,1.223444938659668
50,1.2268946170806885
51,1.245366096496582
52,1.240783452987671
53,1.2307605743408203
54,1.2218677997589111
55,1.2372221946716309
56,1.2498114109039307
57,1.236755132675171
58,1.2471914291381836
59,1.2613377571105957
60,1.2261021137237549
61,1.2464876174926758
62,1.2114923000335693
63,1.2185118198394775
64,1.2158503532409668
65,1.218977451324463
66,1.2464289665222168
67,1.2352323532104492
68,1.2281513214111328
69,1.2384817600250244
70,1.2366743087768555
71,1.241563081741333
72,1.2432146072387695
73,1.2567780017852783
74,1.0519351959228516
