,0
0,1.2619128227233887
1,1.2675576210021973
2,1.2129263877868652
3,1.222161054611206
4,1.2644562721252441
5,1.2831838130950928
6,1.2369775772094727
7,1.2347824573516846
8,1.239457368850708
9,1.2457373142242432
10,1.2603192329406738
11,1.2291712760925293
12,1.2374475002288818
13,1.2241501808166504
14,1.2573187351226807
15,1.2280397415161133
16,1.244868278503418
17,1.2355406284332275
18,1.2389953136444092
19,1.2386534214019775
20,1.2518842220306396
21,1.2389295101165771
22,1.2059962749481201
23,1.2267823219299316
24,1.2128283977508545
25,1.2331488132476807
26,1.2240242958068848
27,1.2384052276611328
28,1.2373559474945068
29,1.2278308868408203
30,1.2271592617034912
31,1.2357516288757324
32,1.2901175022125244
33,1.227189302444458
34,1.2150428295135498
35,1.2253825664520264
36,1.221869945526123
37,1.2429149150848389
38,1.2327439785003662
39,1.2285525798797607
40,1.2374367713928223
41,1.252955675125122
42,1.2818992137908936
43,1.2267723083496094
44,1.228947401046753
45,1.244084358215332
46,1.240051031112671
47,1.2497591972351074
48,1.249096155166626
49,1.2271978855133057
50,1.2145729064941406
51,1.2372186183929443
52,1.289912223815918
53,1.2357208728790283
54,1.2295818328857422
55,1.2407748699188232
56,1.2850449085235596
57,1.286099910736084
58,1.1999645233154297
59,1.239880084991455
60,1.2896053791046143
61,1.2674338817596436
62,1.2654690742492676
63,1.2210609912872314
64,1.2817904949188232
65,1.2897770404815674
66,1.2330043315887451
67,1.2390639781951904
68,1.2287986278533936
69,1.2232732772827148
70,1.2403528690338135
71,1.2436723709106445
72,1.244318962097168
73,1.2428627014160156
74,1.2372379302978516
75,1.2164826393127441
76,1.236222267150879
77,1.2491297721862793
78,1.2471342086791992
79,1.2263574600219727
80,1.2332725524902344
81,1.203453540802002
82,1.2198336124420166
83,1.4762520790100098
84,1.2362465858459473
85,1.2355220317840576
86,1.2292914390563965
87,1.238182783126831
88,1.230149745941162
89,1.2421696186065674
90,1.2536394596099854
91,1.2214436531066895
92,1.2542846202850342
93,1.2309865951538086
94,1.2340271472930908
95,1.2237904071807861
96,1.2281320095062256
97,1.2365105152130127
98,1.2550342082977295
99,1.2140872478485107
100,1.2040486335754395
101,1.2117784023284912
102,1.2067551612854004
103,1.2466163635253906
104,1.2787492275238037
105,1.2160041332244873
106,1.273650884628296
107,1.2874038219451904
108,1.2367944717407227
109,1.2395532131195068
110,1.2204437255859375
111,1.2558073997497559
112,1.2381141185760498
113,1.2216589450836182
114,1.229578971862793
115,1.2190132141113281
116,1.2432482242584229
117,1.2421202659606934
118,1.2138011455535889
119,1.2386398315429688
120,1.2517690658569336
121,1.2544491291046143
122,1.2509515285491943
123,1.1255700588226318
