,0
0,0.326509952545166
1,0.3308851718902588
2,0.33062195777893066
3,0.32849693298339844
4,0.29882025718688965
5,0.32953405380249023
6,0.3026461601257324
7,0.2996642589569092
8,0.30346012115478516
9,0.33031225204467773
10,0.3320646286010742
11,0.3416597843170166
12,0.32691192626953125
13,0.32387638092041016
14,0.32945680618286133
15,0.32951903343200684
16,0.313551664352417
17,0.30467963218688965
18,0.3035316467285156
19,0.30884242057800293
20,0.349714994430542
21,0.3080863952636719
22,0.3156158924102783
23,0.30695056915283203
24,0.30940890312194824
25,0.35781097412109375
26,0.30243515968322754
27,0.3130195140838623
28,0.3021669387817383
29,0.32845473289489746
30,0.32471394538879395
31,0.32834601402282715
32,0.3136131763458252
33,0.3111698627471924
34,0.3096427917480469
35,0.31917643547058105
36,0.3030881881713867
37,0.33562231063842773
38,0.30834031105041504
39,0.30826377868652344
40,0.303297758102417
41,0.30528903007507324
42,0.3133363723754883
43,0.31900691986083984
44,0.5274245738983154
45,0.31324338912963867
46,0.316913366317749
47,0.30837535858154297
48,0.3912849426269531
49,0.34383344650268555
50,0.3291127681732178
51,0.3533163070678711
52,0.2997429370880127
53,0.3003237247467041
54,0.32488203048706055
55,0.3008859157562256
56,0.3149271011352539
57,0.30626964569091797
58,0.31137514114379883
59,0.3142697811126709
60,0.31862640380859375
61,0.3113422393798828
62,0.30371546745300293
63,0.3138163089752197
64,0.33263254165649414
65,0.30663299560546875
66,0.30274486541748047
67,0.3038899898529053
68,0.3255958557128906
69,0.3046896457672119
70,0.30709362030029297
71,0.3044257164001465
72,0.3355593681335449
73,0.30730533599853516
74,0.26009488105773926
