,Testbed PL Batch Time [s],Simulator PL Batch Time [s],Simulator Accuracy PL,Testbed FL Batch Time [s],Simulator FL Batch Time [s],Simulator Accuracy FL,Testbed SL Batch Time [s],Simulator SL Batch Time [s],Simulator Accuracy SL,Testbed PSL Batch Time [s],Simulator PSL Batch Time [s],Simulator Accuracy PSL,Testbed FSL Batch Time [s],Simulator FSL Batch Time [s],Simulator Accuracy FSL
0,0.3210854530334472,0.3488287177723302,0.9135953856620437,0.1065684954325358,0.122324343269515,0.8521528546215276,0.4485797882080078,0.3529811916738962,0.7868860812565583,0.1849845647811889,0.2574753056590589,0.6081254619075029,0.1046202977498372,0.1458705582924962,0.605714556067365
1,0.3305826187133789,0.3633802665144419,0.9007883477700347,0.1025097370147705,0.121514308059285,0.8146071622271731,0.4228942394256592,0.354514065294252,0.8383043140425,0.2003587484359741,0.2515063193485362,0.7447200518478652,0.1163921356201171,0.1335741947800001,0.8523778340491824
2,0.3289003372192383,0.3577785643374455,0.9121976360305233,0.110080083211263,0.1295569954697945,0.8230659744219863,0.4000303745269775,0.3549463169408078,0.8872984141779732,0.2061764001846313,0.2491653688401508,0.7914942320409959,0.1047537326812744,0.1517399797507672,0.5514599254190398
3,0.3123986721038818,0.3534334313957145,0.8686461788858455,0.1057618459065755,0.1282661723786989,0.78721696582336,0.4103693962097168,0.3600819346920011,0.8774580610002005,0.1796666383743286,0.2448903013297243,0.6369739894642841,0.1060309410095214,0.1166056134735186,0.9002680504075918
4,0.3446438312530517,0.3551281883322108,0.9695791535248427,0.1055582364400228,0.1198503678624593,0.8646042989685873,0.3979954719543457,0.3497943715495744,0.8788903296610859,0.1949074268341064,0.2508036995497728,0.7132163015868966,0.112965981165568,0.1309672544124895,0.840648723968165
5,0.3196721076965332,0.3548173080990577,0.8900585958037726,0.1039168039957682,0.126519493589443,0.7824924485303142,0.4079775810241699,0.3818149650900279,0.9358724176253399,0.2067060470581054,0.2479275095814177,0.8005793100396097,0.1061734358469645,0.1649569354024692,0.4463445673903439
6,0.3345065116882324,0.3510182379416521,0.9506385505917775,0.1462918122609456,0.1183858158201674,0.8092443041788194,0.4080569744110107,0.3622854685196003,0.8878306002305758,0.1803739070892334,0.2533191895369571,0.5955884993296914,0.1119832197825114,0.1625924554535184,0.5480641138083198
7,0.3340065479278564,0.3664406987352753,0.9028936677779608,0.1096967061360677,0.1203839665487573,0.9025744638181467,0.4114437103271484,0.3490531145981475,0.848361770606743,0.2155122756958007,0.2741958768885019,0.7277018165056448,0.0921022097269694,0.1655873391597533,0.20213500142259944
8,0.3544085025787353,0.3509000818713194,0.9901006305382403,0.116864522298177,0.1192292329338808,0.9797653677163861,0.4266700744628906,0.3483711162699817,0.8164882824475684,0.1811197996139526,0.2516467638113748,0.6106059947739191,0.1131356557210286,0.1253465119265657,0.8920688961608461
9,0.3328993320465088,0.3627167397662114,0.9104311578626513,0.1025624275207519,0.1222855816186028,0.8076961069017187,0.2914395332336426,0.3561785431520011,0.7778646939210603,0.2025156021118164,0.2583117620118992,0.7244846356614258,0.1075575351715087,0.1157281818049423,0.9240346422925657
10,0.3360350131988525,0.3516618415910723,0.9534964281148511,0.1034036477406819,0.1298925019864724,0.7438305628035496,0.3381550312042236,0.3533797640692803,0.9549770624117612,0.180804967880249,0.2462204289050988,0.6381987630551398,0.1050015290578206,0.1377293666928694,0.6883108471970276
11,0.3368847370147705,0.3526847337515625,0.9530996955314741,0.1054274241129557,0.1178112028645784,0.8825374056530622,0.4458446502685547,0.364721679953313,0.8180465544077354,0.2010071277618408,0.246119442857955,0.7755685800875448,0.1055396397908528,0.1539541532060768,0.5412670205131767
12,0.3635458946228027,0.3496499268422247,0.9617765790066319,0.111147403717041,0.1176514100579764,0.94148305652291,0.3115038871765136,0.3589940758471757,0.847545438032522,0.2051763534545898,0.2498405254626051,0.7823132575660064,0.1120576858520507,0.1350349162805703,0.7949517674418483
