,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [s],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [s],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [s],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [s],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [s],FSL Runtime [s],Best Architecture,Best Train Time [s]
Event 0,event_0,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,33.010520249191245,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[7, 15, 15, 23, 7, 7, 7]",116.43012796905819,1.0332963466644287,Success,processor_49,"['processor_15', 'processor_23', 'processor_7']",38.95458145326238,0.7183256149291992,Success,processor_15,"['processor_23', 'processor_7', 'processor_20']",116.28631640945991,0.06180262565612793,Success,processor_15,"['processor_23', 'processor_7', 'processor_20']",65.07587379652394,0.05977344512939453,Success,processor_1,"['processor_4', 'processor_0', 'processor_3']","['processor_5', 'processor_2', 'processor_6']",53.02062790226094,0.0014495849609375,FL,38.95458145326238
Event 1,event_1,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,28.034190840706373,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[12, 23, 23, 22, 12, 12, 12]",121.00389530928894,1.0189452171325684,Success,processor_39,"['processor_23', 'processor_25', 'processor_22']",40.66695231838731,0.7247776985168457,Success,processor_23,"['processor_25', 'processor_22', 'processor_12']",117.72779749840188,0.06247067451477051,Success,processor_23,"['processor_25', 'processor_22', 'processor_12']",65.61429220958314,0.05340766906738281,Success,processor_5,"['processor_3', 'processor_2', 'processor_0']","['processor_1', 'processor_6', 'processor_4']",40.77657417441581,0.001299142837524414,FL,40.66695231838731
Event 2,event_2,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,42.11947907783593,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[5, 5, 5, 23, 2, 2, 2]",115.81560342872845,0.8085839748382568,Success,processor_39,"['processor_5', 'processor_23', 'processor_2']",38.92651037089291,0.7335958480834961,Success,processor_5,"['processor_23', 'processor_2', 'processor_0']",115.67779603551253,0.06734013557434082,Success,processor_5,"['processor_23', 'processor_2', 'processor_0']",64.62328175588584,0.06708121299743652,Success,processor_1,"['processor_2', 'processor_3', 'processor_4']","['processor_5', 'processor_0', 'processor_6']",37.26693944961149,0.001504659652709961,FSL,37.26693944961149
Event 3,event_3,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,28.792527354077187,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[1, 19, 19, 1, 21, 21, 21]",120.69898750365438,1.0136573314666748,Success,processor_33,"['processor_25', 'processor_19', 'processor_1']",39.980663607469545,0.7154545783996582,Success,processor_25,"['processor_19', 'processor_1', 'processor_21']",117.93197068886926,0.06984472274780273,Success,processor_25,"['processor_19', 'processor_1', 'processor_21']",65.63647839734945,0.06590676307678223,Success,processor_5,"['processor_3', 'processor_0', 'processor_2']","['processor_1', 'processor_6', 'processor_4']",53.98326636132188,0.0024902820587158203,FL,39.980663607469545
Event 4,event_4,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,23.988411050341277,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[14, 14, 14, 16, 24, 24, 24]",118.55806062329735,1.1402437686920166,Success,processor_43,"['processor_14', 'processor_25', 'processor_16']",38.801651627890166,0.7465713024139404,Success,processor_14,"['processor_25', 'processor_16', 'processor_24']",116.73097171648163,0.07216811180114746,Success,processor_14,"['processor_25', 'processor_16', 'processor_24']",65.4987498765324,0.068939208984375,Success,processor_2,"['processor_1', 'processor_3', 'processor_0']","['processor_5', 'processor_4', 'processor_6']",47.94701379376842,0.002606630325317383,FL,38.801651627890166
